,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
65,2017-03-20 02:00:00+00:00,-7.1,102.6,3.7,313.0,10.1,2017-03-20 03:00:00+00:00,3.165,8.795,306.45,1.0,-7.0,103.8,2017-03-20 02:00:00+00:00,1,0.09999999999999964,1.2000000000000028,8.795,3.165
66,2017-03-20 03:00:00+00:00,-7.1,102.7,3.8,313.0,10.1,2017-03-20 04:00:00+00:00,3.0150000000000006,8.626666666666667,307.5666666666667,1.0,-7.0,103.79999999999997,2017-03-20 03:00:00+00:00,1,0.09999999999999964,1.099999999999966,8.626666666666667,3.0150000000000006
67,2017-03-20 04:00:00+00:00,-7.1,102.7,3.1,313.0,10.0,2017-03-20 05:00:00+00:00,2.874285714285714,8.508571428571427,306.21428571428567,1.0,-7.0,103.79999999999997,2017-03-20 04:00:00+00:00,1,0.09999999999999964,1.099999999999966,8.508571428571427,2.874285714285714
68,2017-03-20 05:00:00+00:00,-7.1,102.7,4.1,312.0,9.5,2017-03-20 06:00:00+00:00,4.286666666666667,7.7366666666666655,305.93333333333334,1.0,-7.0,103.79999999999997,2017-03-20 05:00:00+00:00,1,0.09999999999999964,1.099999999999966,7.7366666666666655,4.286666666666667
69,2017-03-20 06:00:00+00:00,-7.1,102.8,4.5,312.0,9.6,2017-03-20 07:00:00+00:00,4.5285714285714285,7.92,304.64285714285717,1.0,-7.0,103.79999999999997,2017-03-20 06:00:00+00:00,1,0.09999999999999964,0.9999999999999716,7.92,4.5285714285714285
70,2017-03-20 07:00:00+00:00,-7.1,102.8,4.4,311.0,9.9,2017-03-20 08:00:00+00:00,4.372857142857143,8.621428571428572,303.4428571428571,1.0,-7.0,103.79999999999997,2017-03-20 07:00:00+00:00,1,0.09999999999999964,0.9999999999999716,8.621428571428572,4.372857142857143
71,2017-03-20 08:00:00+00:00,-7.1,102.9,4.6,310.0,10.2,2017-03-20 09:00:00+00:00,4.235,8.901666666666669,305.1666666666667,1.0,-7.0,103.79999999999997,2017-03-20 08:00:00+00:00,1,0.09999999999999964,0.899999999999963,8.901666666666669,4.235
72,2017-03-20 09:00:00+00:00,-7.1,102.9,4.3,310.0,10.5,2017-03-20 10:00:00+00:00,3.4514285714285706,8.608571428571429,305.97142857142853,1.0,-7.0,103.79999999999997,2017-03-20 09:00:00+00:00,1,0.09999999999999964,0.899999999999963,8.608571428571429,3.4514285714285706
73,2017-03-20 10:00:00+00:00,-7.1,102.9,3.9,316.0,10.3,2017-03-20 11:00:00+00:00,3.213333333333333,9.218333333333335,311.28333333333336,1.0,-7.0,103.79999999999997,2017-03-20 10:00:00+00:00,1,0.09999999999999964,0.899999999999963,9.218333333333335,3.213333333333333
74,2017-03-20 11:00:00+00:00,-7.1,103.0,3.5,318.0,10.9,2017-03-20 12:00:00+00:00,3.4571428571428577,9.455714285714285,308.04285714285714,1.0,-7.0,103.79999999999997,2017-03-20 11:00:00+00:00,1,0.09999999999999964,0.7999999999999687,9.455714285714285,3.4571428571428577
