EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,Dist2Sun_AU,HGI_LAT_deg,HGI_LONG_deg,SW_FLOW_SPEED_km_s,SW_PROTON_DENS_protons_cm3
 1973-02-08T12:00:00.000Z,3.6,3.4,222.4,431.4,0.1212
 1973-02-08T13:00:00.000Z,3.6,3.4,222.5,425.5,0.0938
 1973-02-08T14:00:00.000Z,3.6,3.4,222.5,426.1,0.0641
 1973-02-08T15:00:00.000Z,3.6,3.4,222.5,423,0.1162
 1973-02-08T16:00:00.000Z,3.6,3.4,222.5,425,0.0876
 1973-02-08T17:00:00.000Z,3.6,3.4,222.5,416.9,0.0994
 1973-02-08T18:00:00.000Z,3.6,3.4,222.5,416.6,0.0984
 1973-02-08T19:00:00.000Z,3.61,3.4,222.5,-1.00E+31,-1.00E+31
 1973-02-08T20:00:00.000Z,3.61,3.4,222.6,414.9,0.1082
 1973-02-08T21:00:00.000Z,3.61,3.4,222.6,418.9,0.1044
 1973-02-08T22:00:00.000Z,3.61,3.4,222.6,413.7,0.0778
 1973-02-08T23:00:00.000Z,3.61,3.4,222.5,404.3,0.0632
 1973-02-09T00:00:00.000Z,3.61,3.4,222.5,417.1,0.0678
 1973-02-09T01:00:00.000Z,3.61,3.4,222.5,421.3,0.0831
 1973-02-09T02:00:00.000Z,3.61,3.4,222.5,416,0.0854
 1973-02-09T03:00:00.000Z,3.61,3.4,222.5,414.1,0.057
 1973-02-09T04:00:00.000Z,3.61,3.4,222.6,415,0.1037
 1973-02-09T05:00:00.000Z,3.61,3.4,222.6,414.4,0.0953
 1973-02-09T06:00:00.000Z,3.61,3.4,222.6,413.3,0.1125
 1973-02-09T07:00:00.000Z,3.61,3.4,222.6,411.1,0.0573
 1973-02-09T08:00:00.000Z,3.61,3.4,222.6,411.1,0.0695
 1973-02-09T09:00:00.000Z,3.61,3.4,222.6,409.4,0.0794
 1973-02-09T10:00:00.000Z,3.61,3.5,222.5,405.7,0.0938
 1973-02-09T11:00:00.000Z,3.61,3.5,222.5,404.6,0.0387
 1973-02-09T12:00:00.000Z,3.61,3.5,222.6,406.9,0.0704
 1973-02-09T13:00:00.000Z,3.61,3.5,222.6,399.1,0.1278
 1973-02-09T14:00:00.000Z,3.61,3.5,222.6,400.1,0.0961
 1973-02-09T15:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-09T16:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-09T17:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-09T18:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-09T19:00:00.000Z,3.61,3.5,222.7,-1.00E+31,-1.00E+31
 1973-02-09T20:00:00.000Z,3.61,3.5,222.7,-1.00E+31,-1.00E+31
 1973-02-09T21:00:00.000Z,3.61,3.5,222.6,392.3,0.0775
 1973-02-09T22:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-09T23:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-10T00:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-10T01:00:00.000Z,3.61,3.5,222.6,397.1,0.1156
 1973-02-10T02:00:00.000Z,3.61,3.5,222.6,-1.00E+31,-1.00E+31
 1973-02-10T03:00:00.000Z,3.61,3.5,222.7,-1.00E+31,-1.00E+31
 1973-02-10T04:00:00.000Z,3.61,3.5,222.7,397.2,0.0811
 1973-02-10T05:00:00.000Z,3.61,3.5,222.7,388.6,0.0383
 1973-02-10T06:00:00.000Z,3.61,3.5,222.7,396.1,0.08
 1973-02-10T07:00:00.000Z,3.61,3.5,222.7,-1.00E+31,-1.00E+31
 1973-02-10T08:00:00.000Z,3.61,3.5,222.7,385.2,0.1064
 1973-02-10T09:00:00.000Z,3.62,3.5,222.6,383.4,0.1063
 1973-02-10T10:00:00.000Z,3.62,3.5,222.6,384.3,0.1245
 1973-02-10T11:00:00.000Z,3.62,3.5,222.7,403.1,0.1054
 1973-02-10T12:00:00.000Z,3.62,3.5,222.7,396.1,0.1468
 1973-02-10T13:00:00.000Z,3.62,3.5,222.7,388.8,0.1281
 1973-02-10T14:00:00.000Z,3.62,3.5,222.7,397.6,0.1
 1973-02-10T15:00:00.000Z,3.62,3.5,222.7,404.1,0.1139
 1973-02-10T16:00:00.000Z,3.62,3.5,222.7,401,0.1156
