EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-08-19T00:00:00.000Z,1.01,6.8,249.7
 2018-08-20T00:00:00.000Z,1.01,6.8,250.6
 2018-08-21T00:00:00.000Z,1.01,6.9,251.6
 2018-08-22T00:00:00.000Z,1.01,6.9,252.6
 2018-08-23T00:00:00.000Z,1.01,7,253.6
 2018-08-24T00:00:00.000Z,1.01,7,254.6
 2018-08-25T00:00:00.000Z,1.01,7,255.6
 2018-08-26T00:00:00.000Z,1.01,7,256.6
 2018-08-27T00:00:00.000Z,1.01,7.1,257.6
 2018-08-28T00:00:00.000Z,1.01,7.1,258.6
 2018-08-29T00:00:00.000Z,1.01,7.1,259.6
 2018-08-30T00:00:00.000Z,1.01,7.1,260.6
 2018-08-31T00:00:00.000Z,1.01,7.2,261.6
 2018-09-01T00:00:00.000Z,1.01,7.2,262.6
 2018-09-02T00:00:00.000Z,1.01,7.2,263.6
 2018-09-03T00:00:00.000Z,1.01,7.2,264.5
 2018-09-04T00:00:00.000Z,1.01,7.2,265.5
 2018-09-05T00:00:00.000Z,1.01,7.2,266.5
 2018-09-06T00:00:00.000Z,1.01,7.2,267.4
 2018-09-07T00:00:00.000Z,1.01,7.2,268.4
 2018-09-08T00:00:00.000Z,1.01,7.2,269.3
 2018-09-09T00:00:00.000Z,1.01,7.2,270.3
 2018-09-10T00:00:00.000Z,1,7.2,271.2
 2018-09-11T00:00:00.000Z,1,7.2,272.2
 2018-09-12T00:00:00.000Z,1,7.2,273.1
 2018-09-13T00:00:00.000Z,1,7.2,274.1
 2018-09-14T00:00:00.000Z,1,7.2,275
 2018-09-15T00:00:00.000Z,1,7.2,276
 2018-09-16T00:00:00.000Z,1.01,7.2,277
 2018-09-17T00:00:00.000Z,1.01,7.2,278
 2018-09-18T00:00:00.000Z,1.01,7.2,278.9
 2018-09-19T00:00:00.000Z,1.01,7.1,279.9
 2018-09-20T00:00:00.000Z,1.01,7.1,280.9
 2018-09-21T00:00:00.000Z,1.01,7.1,281.9
 2018-09-22T00:00:00.000Z,1.01,7.1,282.9
 2018-09-23T00:00:00.000Z,1.01,7,283.9
 2018-09-24T00:00:00.000Z,1.01,7,285
 2018-09-25T00:00:00.000Z,1.01,6.9,286
 2018-09-26T00:00:00.000Z,1.01,6.9,287
 2018-09-27T00:00:00.000Z,1,6.9,288
 2018-09-28T00:00:00.000Z,1,6.8,289
 2018-09-29T00:00:00.000Z,1,6.8,290
 2018-09-30T00:00:00.000Z,1,6.7,291
 2018-10-01T00:00:00.000Z,1,6.7,292
 2018-10-02T00:00:00.000Z,1,6.7,293
 2018-10-03T00:00:00.000Z,1,6.6,294
 2018-10-04T00:00:00.000Z,1,6.6,295
 2018-10-05T00:00:00.000Z,1,6.5,296
 2018-10-06T00:00:00.000Z,1,6.5,296.9
 2018-10-07T00:00:00.000Z,1,6.4,297.9
 2018-10-08T00:00:00.000Z,1,6.4,298.9
 2018-10-09T00:00:00.000Z,1,6.3,299.8
 2018-10-10T00:00:00.000Z,1,6.2,300.8
 2018-10-11T00:00:00.000Z,1,6.2,301.7
 2018-10-12T00:00:00.000Z,1,6.1,302.7
 2018-10-13T00:00:00.000Z,1,6,303.7
 2018-10-14T00:00:00.000Z,1,6,304.7
 2018-10-15T00:00:00.000Z,1,5.9,305.6
 2018-10-16T00:00:00.000Z,1,5.8,306.6
 2018-10-17T00:00:00.000Z,1,5.7,307.6
 2018-10-18T00:00:00.000Z,1,5.7,308.6
 2018-10-19T00:00:00.000Z,1,5.6,309.6
 2018-10-20T00:00:00.000Z,1,5.5,310.6
 2018-10-21T00:00:00.000Z,1,5.4,311.6
 2018-10-22T00:00:00.000Z,1,5.3,312.6
 2018-10-23T00:00:00.000Z,1,5.2,313.7
 2018-10-24T00:00:00.000Z,1,5.1,314.7
 2018-10-25T00:00:00.000Z,1,5,315.7
 2018-10-26T00:00:00.000Z,1,5,316.8
 2018-10-27T00:00:00.000Z,1,4.9,317.8
 2018-10-28T00:00:00.000Z,1,4.8,318.8
 2018-10-29T00:00:00.000Z,0.99,4.7,319.8
 2018-10-30T00:00:00.000Z,0.99,4.6,320.8
 2018-10-31T00:00:00.000Z,0.99,4.5,321.8
 2018-11-01T00:00:00.000Z,0.99,4.4,322.8
 2018-11-02T00:00:00.000Z,0.99,4.3,323.8
 2018-11-03T00:00:00.000Z,0.99,4.2,324.8
 2018-11-04T00:00:00.000Z,0.99,4.1,325.8
 2018-11-05T00:00:00.000Z,0.99,4,326.8
 2018-11-06T00:00:00.000Z,0.99,3.9,327.7
 2018-11-07T00:00:00.000Z,0.99,3.8,328.7
