EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,Ion_Density_n_cc,Ion_Velocity_km_s,Distance_From_Sun_AU,HGI_LAT_deg,HGI_LON_deg
2019-08-04 04:00:00+00:00,5.863333333333333,336.8,1.01,6.0,235.0
2019-08-04 05:00:00+00:00,5.0928571428571425,332.59999999999997,1.01,6.0,235.0
2019-08-04 06:00:00+00:00,5.611666666666667,335.0333333333333,1.01,6.0,235.0
2019-08-04 07:00:00+00:00,10.747142857142856,355.07142857142856,1.01,6.0,235.0
2019-08-04 08:00:00+00:00,8.966666666666667,362.84999999999997,1.01,6.0,235.0
2019-08-04 09:00:00+00:00,7.771428571428572,353.2999999999999,1.01,6.0,235.0
2019-08-04 10:00:00+00:00,6.44,343.6666666666667,1.01,6.0,235.0
2019-08-04 11:00:00+00:00,5.785714285714286,335.8285714285715,1.01,6.0,235.0
2019-08-04 12:00:00+00:00,5.406666666666666,335.6333333333334,1.01,6.0,235.0
2019-08-04 13:00:00+00:00,5.962857142857142,342.3,1.01,6.0,235.0
2019-08-04 14:00:00+00:00,6.521666666666666,340.2833333333333,1.01,6.0,235.0
2019-08-04 15:00:00+00:00,6.859999999999999,332.9714285714286,1.01,6.0,235.0
2019-08-04 16:00:00+00:00,7.471666666666667,333.05,1.01,6.0,235.0
2019-08-04 17:00:00+00:00,7.266666666666665,327.0666666666666,1.01,6.0,235.0
2019-08-04 18:00:00+00:00,7.055909090909093,323.7181818181818,1.0100000000000005,6.0,235.0
2019-08-04 19:00:00+00:00,6.206666666666667,319.1333333333334,1.01,6.0,235.0
2019-08-04 20:00:00+00:00,6.3340000000000005,317.62,1.01,6.0,235.0
2019-08-04 21:00:00+00:00,0.7923809523809522,223.04761904761904,1.0100000000000005,6.0,235.0
2019-08-04 22:00:00+00:00,,,,,
2019-08-04 23:00:00+00:00,,,,,
2019-08-05 00:00:00+00:00,,,,,
2019-08-05 01:00:00+00:00,12.25,318.0625,1.01,6.0,236.0
2019-08-05 02:00:00+00:00,18.231923076923078,353.9961538461539,1.0100000000000007,6.0,236.0
2019-08-05 03:00:00+00:00,18.794210526315787,381.9684210526316,1.0100000000000002,6.0,236.0
2019-08-05 04:00:00+00:00,14.020000000000001,450.87142857142857,1.01,6.0,236.0
2019-08-05 05:00:00+00:00,13.261666666666665,445.65000000000003,1.01,6.0,236.0
2019-08-05 06:00:00+00:00,17.425714285714285,469.49999999999994,1.01,6.0,236.0
2019-08-05 07:00:00+00:00,17.231666666666666,466.4166666666667,1.01,6.0,236.0
2019-08-05 08:00:00+00:00,17.77,503.8285714285715,1.01,6.0,236.0
2019-08-05 09:00:00+00:00,9.396666666666667,522.8333333333334,1.01,6.0,236.0
2019-08-05 10:00:00+00:00,10.274285714285714,571.0285714285714,1.01,6.0,236.0
2019-08-05 11:00:00+00:00,6.756666666666667,631.1999999999999,1.01,6.0,236.0
2019-08-05 12:00:00+00:00,6.0685714285714285,634.6428571428571,1.01,6.0,236.0
2019-08-05 13:00:00+00:00,5.445714285714286,650.5285714285714,1.01,6.0,236.0
2019-08-05 14:00:00+00:00,4.528333333333333,649.1,1.01,6.0,236.0
2019-08-05 15:00:00+00:00,4.118571428571428,653.3714285714285,1.01,6.0,236.0
2019-08-05 16:00:00+00:00,4.3116666666666665,661.8666666666667,1.01,6.0,236.0
2019-08-05 17:00:00+00:00,4.021428571428571,651.0142857142856,1.01,6.0,236.0
2019-08-05 18:00:00+00:00,2.891666666666667,666.1,1.01,6.0,236.0
2019-08-05 19:00:00+00:00,1.9557142857142857,669.4428571428571,1.01,6.0,236.0
2019-08-05 20:00:00+00:00,1.855,680.1400000000001,1.0100000000000002,6.0,236.0
2019-08-05 21:00:00+00:00,1.8915384615384616,692.0615384615386,1.0100000000000007,6.0,236.0
2019-08-05 22:00:00+00:00,0.4256521739130433,453.41739130434786,1.0100000000000005,6.0,236.0
2019-08-05 23:00:00+00:00,1.556086956521739,691.2304347826085,1.0100000000000005,6.0,236.0
2019-08-06 00:00:00+00:00,,,,,
2019-08-06 01:00:00+00:00,,,,,
2019-08-06 02:00:00+00:00,1.576,696.8533333333332,1.01,6.099999999999999,236.90000000000006
2019-08-06 03:00:00+00:00,1.5042307692307693,706.4230769230769,1.0100000000000007,6.099999999999998,236.89999999999992
2019-08-06 04:00:00+00:00,1.5315384615384615,696.8961538461538,1.0100000000000007,6.099999999999998,236.89999999999992
2019-08-06 05:00:00+00:00,1.4525925925925922,694.6148148148147,1.0100000000000007,6.099999999999998,236.8999999999999
2019-08-06 06:00:00+00:00,1.3512499999999998,694.24375,1.01,6.099999999999999,236.90000000000006
2019-08-06 07:00:00+00:00,1.3728571428571428,652.4142857142858,1.01,6.1000000000000005,236.90000000000003
2019-08-06 08:00:00+00:00,1.5466666666666666,645.6166666666667,1.01,6.1000000000000005,236.9
