EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_HGI_LAT_deg,OMNI_HGI_LON_deg,OMNI_speed_km_s,OMNI_density_n_cc
 1973-02-14T20:00:00.000Z,-6.8,70.1,410,7.4
 1973-02-14T21:00:00.000Z,-6.8,70.1,408,6.6
 1973-02-14T22:00:00.000Z,-6.8,70.2,394,11.6
 1973-02-14T23:00:00.000Z,-6.8,70.2,383,18.5
 1973-02-15T00:00:00.000Z,-6.8,70.3,380,18
 1973-02-15T01:00:00.000Z,-6.8,70.3,379,12.6
 1973-02-15T02:00:00.000Z,-6.8,70.3,375,11.6
 1973-02-15T03:00:00.000Z,-6.8,70.4,370,12.5
 1973-02-15T04:00:00.000Z,-6.8,70.4,363,12
 1973-02-15T05:00:00.000Z,-6.8,70.5,355,9.9
 1973-02-15T06:00:00.000Z,-6.8,70.5,353,10.7
 1973-02-15T07:00:00.000Z,-6.8,70.6,350,9.9
 1973-02-15T08:00:00.000Z,-6.8,70.6,365,11.7
 1973-02-15T09:00:00.000Z,-6.8,70.6,366,12.6
 1973-02-15T10:00:00.000Z,-6.8,70.7,355,13.2
 1973-02-15T11:00:00.000Z,-6.8,70.7,355,15.5
 1973-02-15T12:00:00.000Z,-6.8,70.8,358,16.1
 1973-02-15T13:00:00.000Z,-6.9,70.8,365,12.5
 1973-02-15T14:00:00.000Z,-6.9,70.9,365,8.2
 1973-02-15T15:00:00.000Z,-6.9,70.9,366,8.4
 1973-02-15T16:00:00.000Z,-6.9,70.9,364,7.6
 1973-02-15T17:00:00.000Z,-6.9,71,358,9.6
 1973-02-15T18:00:00.000Z,-6.9,71,362,8.4
 1973-02-15T19:00:00.000Z,-6.9,71.1,356,8
 1973-02-15T20:00:00.000Z,-6.9,71.1,346,9.3
 1973-02-15T21:00:00.000Z,-6.9,71.1,345,8.3
 1973-02-15T22:00:00.000Z,-6.9,71.2,347,8.6
 1973-02-15T23:00:00.000Z,-6.9,71.2,342,9
 1973-02-16T00:00:00.000Z,-6.9,71.3,335,10.6
 1973-02-16T01:00:00.000Z,-6.9,71.3,333,10.3
 1973-02-16T02:00:00.000Z,-6.9,71.4,329,10.4
 1973-02-16T03:00:00.000Z,-6.9,71.4,324,12.9
 1973-02-16T04:00:00.000Z,-6.9,71.4,329,10.7
 1973-02-16T05:00:00.000Z,-6.9,71.5,327,13.4
 1973-02-16T06:00:00.000Z,-6.9,71.5,325,15
 1973-02-16T07:00:00.000Z,-6.9,71.6,323,16
 1973-02-16T08:00:00.000Z,-6.9,71.6,324,14.8
 1973-02-16T09:00:00.000Z,-6.9,71.7,334,19.4
 1973-02-16T10:00:00.000Z,-6.9,71.7,335,21.5
 1973-02-16T11:00:00.000Z,-6.9,71.7,346,22.4
 1973-02-16T12:00:00.000Z,-6.9,71.8,361,22.8
 1973-02-16T13:00:00.000Z,-6.9,71.8,372,19.9
 1973-02-16T14:00:00.000Z,-6.9,71.9,370,21.3
 1973-02-16T15:00:00.000Z,-6.9,71.9,364,26.8
 1973-02-16T16:00:00.000Z,-6.9,72,356,35.7
 1973-02-16T17:00:00.000Z,-6.9,72,366,27.6
 1973-02-16T18:00:00.000Z,-6.9,72,375,17.3
 1973-02-16T19:00:00.000Z,-6.9,72.1,384,17.9
 1973-02-16T20:00:00.000Z,-6.9,72.1,401,16.9
 1973-02-16T21:00:00.000Z,-6.9,72.2,413,14.4
 1973-02-16T22:00:00.000Z,-6.9,72.2,418,14.6
 1973-02-16T23:00:00.000Z,-6.9,72.3,412,13.4
 1973-02-17T00:00:00.000Z,-6.9,72.3,416,14
 1973-02-17T01:00:00.000Z,-6.9,72.3,406,11.7
 1973-02-17T02:00:00.000Z,-6.9,72.4,409,12.9
 1973-02-17T03:00:00.000Z,-6.9,72.4,396,12.7
 1973-02-17T04:00:00.000Z,-6.9,72.5,393,10.5
 1973-02-17T05:00:00.000Z,-6.9,72.5,393,9.1
 1973-02-17T06:00:00.000Z,-6.9,72.5,398,9.7
 1973-02-17T07:00:00.000Z,-6.9,72.6,406,9.1
 1973-02-17T08:00:00.000Z,-6.9,72.6,414,7.5
 1973-02-17T09:00:00.000Z,-6.9,72.7,418,6.7
 1973-02-17T10:00:00.000Z,-6.9,72.7,412,6.6
 1973-02-17T11:00:00.000Z,-6.9,72.8,414,6.9
