EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BULK_FLOW_SPEED_km/s,ION_DENSITY_N/cm3
 2019-08-13T10:00:00.000Z,6.5,243,452,4.4
 2019-08-13T11:00:00.000Z,6.5,243,453,3.7
 2019-08-13T12:00:00.000Z,6.5,243.1,455,4.3
 2019-08-13T13:00:00.000Z,6.5,243.1,475,4.5
 2019-08-13T14:00:00.000Z,6.5,243.1,469,4.6
 2019-08-13T15:00:00.000Z,6.5,243.2,480,4
 2019-08-13T16:00:00.000Z,6.5,243.2,474,3.7
 2019-08-13T17:00:00.000Z,6.5,243.3,482,3.2
 2019-08-13T18:00:00.000Z,6.5,243.3,491,3.3
 2019-08-13T19:00:00.000Z,6.5,243.4,481,3.3
 2019-08-13T20:00:00.000Z,6.5,243.4,490,3.1
 2019-08-13T21:00:00.000Z,6.5,243.4,481,3.1
 2019-08-13T22:00:00.000Z,6.5,243.5,465,3.4
 2019-08-13T23:00:00.000Z,6.5,243.5,461,3.4
 2019-08-14T00:00:00.000Z,6.5,243.6,461,3.5
 2019-08-14T01:00:00.000Z,6.5,243.6,478,2.7
 2019-08-14T02:00:00.000Z,6.5,243.6,485,1.9
 2019-08-14T03:00:00.000Z,6.5,243.7,484,1.7
 2019-08-14T04:00:00.000Z,6.5,243.7,459,1.3
 2019-08-14T05:00:00.000Z,6.5,243.8,461,1.7
 2019-08-14T06:00:00.000Z,6.5,243.8,456,1.8
 2019-08-14T07:00:00.000Z,6.5,243.8,458,2
 2019-08-14T08:00:00.000Z,6.5,243.9,464,3.4
 2019-08-14T09:00:00.000Z,6.5,243.9,464,3.2
 2019-08-14T10:00:00.000Z,6.5,244,456,2.6
 2019-08-14T11:00:00.000Z,6.5,244,449,2.5
 2019-08-14T12:00:00.000Z,6.5,244,446,2.7
 2019-08-14T13:00:00.000Z,6.5,244.1,444,2.5
 2019-08-14T14:00:00.000Z,6.5,244.1,452,2.7
 2019-08-14T15:00:00.000Z,6.5,244.2,447,2.7
 2019-08-14T16:00:00.000Z,6.5,244.2,441,2.6
 2019-08-14T17:00:00.000Z,6.5,244.2,443,2.8
 2019-08-14T18:00:00.000Z,6.5,244.3,442,3
 2019-08-14T19:00:00.000Z,6.5,244.3,451,2.8
 2019-08-14T20:00:00.000Z,6.5,244.4,450,2.7
 2019-08-14T21:00:00.000Z,6.5,244.4,463,2.3
 2019-08-14T22:00:00.000Z,6.5,244.4,464,2.3
 2019-08-14T23:00:00.000Z,6.5,244.5,459,2.3
 2019-08-15T00:00:00.000Z,6.6,244.5,467,2.8
 2019-08-15T01:00:00.000Z,6.6,244.6,454,2.4
 2019-08-15T02:00:00.000Z,6.6,244.6,455,2.3
 2019-08-15T03:00:00.000Z,6.6,244.6,455,2.3
 2019-08-15T04:00:00.000Z,6.6,244.7,446,2.4
 2019-08-15T05:00:00.000Z,6.6,244.7,447,2.6
 2019-08-15T06:00:00.000Z,6.6,244.8,440,2.6
 2019-08-15T07:00:00.000Z,6.6,244.8,435,3
 2019-08-15T08:00:00.000Z,6.6,244.8,432,2.9
 2019-08-15T09:00:00.000Z,6.6,244.9,429,3.3
 2019-08-15T10:00:00.000Z,6.6,244.9,423,3.4
 2019-08-15T11:00:00.000Z,6.6,245,419,3.5
 2019-08-15T12:00:00.000Z,6.6,245,416,3.3
 2019-08-15T13:00:00.000Z,6.6,245,417,3.3
 2019-08-15T14:00:00.000Z,6.6,245.1,428,3.6
 2019-08-15T15:00:00.000Z,6.6,245.1,423,3.7
 2019-08-15T16:00:00.000Z,6.6,245.2,428,4.2
 2019-08-15T17:00:00.000Z,6.6,245.2,428,4.2
 2019-08-15T18:00:00.000Z,6.6,245.2,427,4.3
 2019-08-15T19:00:00.000Z,6.6,245.3,428,4.7
 2019-08-15T20:00:00.000Z,6.6,245.3,429,5.2
 2019-08-15T21:00:00.000Z,6.6,245.4,426,5.9
 2019-08-15T22:00:00.000Z,6.6,245.4,424,6.2
 2019-08-15T23:00:00.000Z,6.6,245.4,423,5.8
 2019-08-16T00:00:00.000Z,6.6,245.5,425,5.2
 2019-08-16T01:00:00.000Z,6.6,245.5,411,5.1
 2019-08-16T02:00:00.000Z,6.6,245.6,407,5.3
 2019-08-16T03:00:00.000Z,6.6,245.6,408,4.9
 2019-08-16T04:00:00.000Z,6.6,245.6,408,5.1
 2019-08-16T05:00:00.000Z,6.6,245.7,425,4.7
 2019-08-16T06:00:00.000Z,6.6,245.7,418,4.5
 2019-08-16T07:00:00.000Z,6.6,245.8,424,5.2
 2019-08-16T08:00:00.000Z,6.6,245.8,431,5
 2019-08-16T09:00:00.000Z,6.6,245.8,424,4.3
 2019-08-16T10:00:00.000Z,6.6,245.9,410,4.6
 2019-08-16T11:00:00.000Z,6.6,245.9,404,4.3
 2019-08-16T12:00:00.000Z,6.6,246,401,4.3
 2019-08-16T13:00:00.000Z,6.6,246,399,4.5
 2019-08-16T14:00:00.000Z,6.6,246,394,4.3
 2019-08-16T15:00:00.000Z,6.6,246.1,392,3.6
 2019-08-16T16:00:00.000Z,6.6,246.1,385,3.3
 2019-08-16T17:00:00.000Z,6.6,246.2,383,3.2
 2019-08-16T18:00:00.000Z,6.6,246.2,381,3.2
 2019-08-16T19:00:00.000Z,6.6,246.2,370,3.1
 2019-08-16T20:00:00.000Z,6.6,246.3,369,3.3
 2019-08-16T21:00:00.000Z,6.6,246.3,368,3.4
 2019-08-16T22:00:00.000Z,6.6,246.4,377,3.9
 2019-08-16T23:00:00.000Z,6.6,246.4,367,3.9
 2019-08-17T00:00:00.000Z,6.7,246.4,366,4.2
 2019-08-17T01:00:00.000Z,6.7,246.5,370,5.2
 2019-08-17T02:00:00.000Z,6.7,246.5,368,5.5
 2019-08-17T03:00:00.000Z,6.7,246.6,365,6.1
 2019-08-17T04:00:00.000Z,6.7,246.6,362,7.1
 2019-08-17T05:00:00.000Z,6.7,246.6,362,9.7
 2019-08-17T06:00:00.000Z,6.7,246.7,361,8.7
 2019-08-17T07:00:00.000Z,6.7,246.7,364,7.7
 2019-08-17T08:00:00.000Z,6.7,246.8,374,7.5
 2019-08-17T09:00:00.000Z,6.7,246.8,363,7.2
 2019-08-17T10:00:00.000Z,6.7,246.9,360,7.5
 2019-08-17T11:00:00.000Z,6.7,246.9,354,7.4
 2019-08-17T12:00:00.000Z,6.7,246.9,350,7.5
 2019-08-17T13:00:00.000Z,6.7,247,349,7.2
 2019-08-17T14:00:00.000Z,6.7,247,346,7.5
 2019-08-17T15:00:00.000Z,6.7,247.1,346,7.1
 2019-08-17T16:00:00.000Z,6.7,247.1,341,8.6
 2019-08-17T17:00:00.000Z,6.7,247.1,335,9.3
 2019-08-17T18:00:00.000Z,6.7,247.2,335,9.6
 2019-08-17T19:00:00.000Z,6.7,247.2,340,7.2
 2019-08-17T20:00:00.000Z,6.7,247.3,346,7.2
 2019-08-17T21:00:00.000Z,6.7,247.3,356,7.5
 2019-08-17T22:00:00.000Z,6.7,247.3,356,7.8
 2019-08-17T23:00:00.000Z,6.7,247.4,354,9.3
 2019-08-18T00:00:00.000Z,6.7,247.4,358,11
 2019-08-18T01:00:00.000Z,6.7,247.5,355,12.4
 2019-08-18T02:00:00.000Z,6.7,247.5,352,13.7
 2019-08-18T03:00:00.000Z,6.7,247.5,344,14.4
 2019-08-18T04:00:00.000Z,6.7,247.6,352,11.5
 2019-08-18T05:00:00.000Z,6.7,247.6,359,11.5
 2019-08-18T06:00:00.000Z,6.7,247.7,354,11.2
 2019-08-18T07:00:00.000Z,6.7,247.7,350,10.1
 2019-08-18T08:00:00.000Z,6.7,247.7,349,8.4
 2019-08-18T09:00:00.000Z,6.7,247.8,339,5.6
 2019-08-18T10:00:00.000Z,6.7,247.8,357,5
 2019-08-18T11:00:00.000Z,6.7,247.9,364,5
 2019-08-18T12:00:00.000Z,6.7,247.9,367,5.1
 2019-08-18T13:00:00.000Z,6.7,247.9,362,5.5
 2019-08-18T14:00:00.000Z,6.7,248,360,5.5
 2019-08-18T15:00:00.000Z,6.7,248,361,5.6
 2019-08-18T16:00:00.000Z,6.7,248.1,364,5.4
 2019-08-18T17:00:00.000Z,6.7,248.1,362,5.5
 2019-08-18T18:00:00.000Z,6.7,248.1,360,5.4
 2019-08-18T19:00:00.000Z,6.7,248.2,359,5.4
 2019-08-18T20:00:00.000Z,6.7,248.2,359,5.6
 2019-08-18T21:00:00.000Z,6.7,248.3,361,5.1
 2019-08-18T22:00:00.000Z,6.7,248.3,361,5.6
 2019-08-18T23:00:00.000Z,6.7,248.3,361,6.3
 2019-08-19T00:00:00.000Z,6.7,248.4,361,7
 2019-08-19T01:00:00.000Z,6.7,248.4,363,7
 2019-08-19T02:00:00.000Z,6.7,248.5,368,6.9
 2019-08-19T03:00:00.000Z,6.8,248.5,369,6.5
 2019-08-19T04:00:00.000Z,6.8,248.5,375,7
 2019-08-19T05:00:00.000Z,6.8,248.6,376,6.8
 2019-08-19T06:00:00.000Z,6.8,248.6,371,9.2
 2019-08-19T07:00:00.000Z,6.8,248.7,366,10.1
 2019-08-19T08:00:00.000Z,6.8,248.7,364,9.8
 2019-08-19T09:00:00.000Z,6.8,248.7,363,10.1
 2019-08-19T10:00:00.000Z,6.8,248.8,361,10.9
 2019-08-19T11:00:00.000Z,6.8,248.8,358,10.2
 2019-08-19T12:00:00.000Z,6.8,248.9,358,10
 2019-08-19T13:00:00.000Z,6.8,248.9,363,9.9
 2019-08-19T14:00:00.000Z,6.8,248.9,363,10.3
